scenario,stat,alpha,upper,anomalies_total,anomalies_in_attack,anomalies_rolling,hist,global_plot,comparison_plot
default,mean,0.1,501.64,173,8,134,P:\PBS\STAT\lab02\results\hist_mean_alpha0.1.png,P:\PBS\STAT\lab02\results\signal_global_mean_alpha0.1.png,P:\PBS\STAT\lab02\results\signal_comp_mean_alpha0.1.png
default,mean,0.05,502.13,171,8,129,P:\PBS\STAT\lab02\results\hist_mean_alpha0.05.png,P:\PBS\STAT\lab02\results\signal_global_mean_alpha0.05.png,P:\PBS\STAT\lab02\results\signal_comp_mean_alpha0.05.png
default,mean,0.01,503.08,167,8,118,P:\PBS\STAT\lab02\results\hist_mean_alpha0.01.png,P:\PBS\STAT\lab02\results\signal_global_mean_alpha0.01.png,P:\PBS\STAT\lab02\results\signal_comp_mean_alpha0.01.png
default,mean,0.001,504.09,162,8,113,P:\PBS\STAT\lab02\results\hist_mean_alpha0.001.png,P:\PBS\STAT\lab02\results\signal_global_mean_alpha0.001.png,P:\PBS\STAT\lab02\results\signal_comp_mean_alpha0.001.png
default,median,0.1,501.73,172,8,126,P:\PBS\STAT\lab02\results\hist_median_alpha0.1.png,P:\PBS\STAT\lab02\results\signal_global_median_alpha0.1.png,P:\PBS\STAT\lab02\results\signal_comp_median_alpha0.1.png
default,median,0.05,502.54,169,8,117,P:\PBS\STAT\lab02\results\hist_median_alpha0.05.png,P:\PBS\STAT\lab02\results\signal_global_median_alpha0.05.png,P:\PBS\STAT\lab02\results\signal_comp_median_alpha0.05.png
default,median,0.01,503.77,164,8,112,P:\PBS\STAT\lab02\results\hist_median_alpha0.01.png,P:\PBS\STAT\lab02\results\signal_global_median_alpha0.01.png,P:\PBS\STAT\lab02\results\signal_comp_median_alpha0.01.png
default,median,0.001,504.90,160,8,103,P:\PBS\STAT\lab02\results\hist_median_alpha0.001.png,P:\PBS\STAT\lab02\results\signal_global_median_alpha0.001.png,P:\PBS\STAT\lab02\results\signal_comp_median_alpha0.001.png
default,p90,0.1,541.77,36,8,21,P:\PBS\STAT\lab02\results\hist_p90_alpha0.1.png,P:\PBS\STAT\lab02\results\signal_global_p90_alpha0.1.png,P:\PBS\STAT\lab02\results\signal_comp_p90_alpha0.1.png
default,p90,0.05,542.63,34,8,17,P:\PBS\STAT\lab02\results\hist_p90_alpha0.05.png,P:\PBS\STAT\lab02\results\signal_global_p90_alpha0.05.png,P:\PBS\STAT\lab02\results\signal_comp_p90_alpha0.05.png
default,p90,0.01,544.04,31,8,13,P:\PBS\STAT\lab02\results\hist_p90_alpha0.01.png,P:\PBS\STAT\lab02\results\signal_global_p90_alpha0.01.png,P:\PBS\STAT\lab02\results\signal_comp_p90_alpha0.01.png
default,p90,0.001,545.42,28,8,12,P:\PBS\STAT\lab02\results\hist_p90_alpha0.001.png,P:\PBS\STAT\lab02\results\signal_global_p90_alpha0.001.png,P:\PBS\STAT\lab02\results\signal_comp_p90_alpha0.001.png
changed,mean,0.1,805.47,173,8,134,P:\PBS\STAT\lab02\results\signal_changed_mean_alpha0.1.png
changed,mean,0.05,807.10,171,8,129,P:\PBS\STAT\lab02\results\signal_changed_mean_alpha0.05.png
changed,mean,0.01,810.26,167,8,118,P:\PBS\STAT\lab02\results\signal_changed_mean_alpha0.01.png
changed,mean,0.001,813.62,162,8,113,P:\PBS\STAT\lab02\results\signal_changed_mean_alpha0.001.png
changed,median,0.1,805.77,172,8,126,P:\PBS\STAT\lab02\results\signal_changed_median_alpha0.1.png
changed,median,0.05,808.48,169,8,117,P:\PBS\STAT\lab02\results\signal_changed_median_alpha0.05.png
changed,median,0.01,812.57,164,8,112,P:\PBS\STAT\lab02\results\signal_changed_median_alpha0.01.png
changed,median,0.001,816.33,160,8,103,P:\PBS\STAT\lab02\results\signal_changed_median_alpha0.001.png
changed,p90,0.1,939.22,36,8,21,P:\PBS\STAT\lab02\results\signal_changed_p90_alpha0.1.png
changed,p90,0.05,942.11,34,8,17,P:\PBS\STAT\lab02\results\signal_changed_p90_alpha0.05.png
changed,p90,0.01,946.80,31,8,13,P:\PBS\STAT\lab02\results\signal_changed_p90_alpha0.01.png
changed,p90,0.001,951.39,28,8,12,P:\PBS\STAT\lab02\results\signal_changed_p90_alpha0.001.png
